Name,Team,BYE,Pos,ADP,FP,ESPN,BORIS
Chris Godwin,TB,5,WR,183,153,126,157
Matthew Stafford,DET,6,QB,96,91,127,86
Drew Brees,NO,6,QB,64,71,128,70
Calvin Ridley,ATL,8,WR,115,143,129,158
John Ross,CIN,9,WR,207,186,130,175
Danny Amendola,MIA,11,WR,252,205,131,181
Dez Bryant,FA,,WR,161,166,132,169
Charles Clay,BUF,11,TE,224,149,133,162
Matt Ryan,ATL,8,QB,103,110,134,106
Patrick Mahomes,KC,12,QB,116,115,135,101
Tyler Eifert,CIN,9,TE,136,137,136,146
Philip Rivers,LAC,8,QB,106,103,137,93
Jimmy Garoppolo,SF,11,QB,93,107,138,103
Alex Smith,WAS,4,QB,129,121,139,115
Marcus Mariota,TEN,8,QB,128,119,140,110
John Brown,BAL,10,WR,193,160,141,140
Anthony Miller,CHI,5,WR,162,146,142,141
James Washington,PIT,7,WR,197,211,143,195
Courtland Sutton,DEN,10,WR,192,215,144,186
Donte Moncrief,JAC,9,WR,236,203,145,179
Mike Williams,LAC,8,WR,130,135,146,132
Devontae Booker,DEN,10,RB,123,130,147,117
Latavius Murray,MIN,10,RB,139,140,148,133
Theo Riddick,DET,6,RB,167,159,149,171
Nyheim Hines,IND,9,RB,149,173,150,159
Robert Kelley,WAS,4,RB,146,174,151,
Samaje Perine,WAS,4,RB,160,165,152,
Doug Martin,OAK,7,RB,156,168,153,188
Matt Breida,SF,11,RB,154,148,154,154
Corey Clement,PHI,9,RB,132,139,155,155
George Kittle,SF,11,TE,127,118,157,136
Mike Wallace,PHI,9,WR,273,191,158,163
Ryan Grant,IND,9,WR,289,196,159,196
Keelan Cole,JAC,9,WR,201,182,160,174
Aaron Jones,GB,7,RB,104,114,161,139
Dak Prescott,DAL,8,QB,137,128,162,119
Jared Goff,LAR,12,QB,108,120,163,108
Austin Seferian-Jenkins,JAC,9,TE,176,177,164,170
Vance McDonald,PIT,7,TE,247,188,166,200
Peyton Barber,TB,5,RB,134,117,167,123
Tyrod Taylor,CLE,11,QB,211,192,168,168
Quincy Enunwa,NYJ,11,WR,277,193,169,166
Greg Zuerlein,LAR,12,K,126,198,175,
Stephen Gostkowski,NE,11,K,122,187,176,
Justin Tucker,BAL,10,K,145,194,177,
Matt Bryant,ATL,8,K,196,206,184,
Wil Lutz,NO,6,K,171,219,185,
Chris Boswell,PIT,7,K,202,233,186,
Jake Elliott,PHI,9,K,173,224,188,
Matt Prater,DET,6,K,226,225,189,
Harrison Butker,KC,12,K,172,237,190,
LeGarrette Blount,DET,6,RB,148,162,193,
Javorius Allen,BAL,10,RB,225,209,194,
Bilal Powell,NYJ,11,RB,155,129,195,143
Cameron Brate,TB,5,TE,184,142,196,165
Benjamin Watson,NO,6,TE,210,185,197,192
Austin Hooper,ATL,8,TE,214,190,198,183
Kenneth Dixon,BAL,10,RB,217,218,199,
Darren Sproles,PHI,9,RB,268,238,200,
D'Onta Foreman,HOU,10,RB,140,164,202,160
Chris Ivory,BUF,11,RB,213,195,203,156
Austin Ekeler,LAC,8,RB,168,201,204,177
Spencer Ware,KC,12,RB,209,213,205,199
Frank Gore,MIA,11,RB,206,181,206,184
Jonathan Stewart,NYG,9,RB,272,242,208,
O.J. Howard,TB,5,TE,153,133,210,149
Jared Cook,OAK,7,TE,186,161,211,152
Mitch Trubisky,CHI,5,QB,169,154,212,134
Christian Kirk,ARI,9,WR,195,197,213,180
Cole Beasley,DAL,8,WR,259,223,214,
Martavis Bryant,OAK,7,WR,165,170,215,153
Ted Ginn,NO,6,WR,179,167,216,145
Taywan Taylor,TEN,8,WR,223,202,218,178
Andy Dalton,CIN,9,QB,212,175,219,148
Ryan Tannehill,MIA,11,QB,222,204,220,164
Dan Bailey,DAL,8,K,205,228,223,
Albert Wilson,MIA,11,WR,294,229,225,187
Terrance Williams,DAL,8,WR,263,234,226,185
Tyrell Williams,LAC,8,WR,181,145,228,137
Brandon Marshall,SEA,7,WR,270,235,229,
Corey Coleman,BUF,11,WR,285,210,233,
Jermaine Kearse,NYJ,11,WR,291,220,234,167
T.J. Yeldon,JAC,9,RB,218,222,236,
Corey Grant,JAC,9,RB,306,241,238,
Eli Manning,NYG,9,QB,174,157,243,150
Derek Carr,OAK,7,QB,133,144,244,138
Jameis Winston,TB,5,QB,158,184,245,173
Eric Ebron,IND,9,TE,194,150,246,172
Mike Gesicki,MIA,11,TE,200,199,247,198
Ricky Seals-Jones,ARI,9,TE,216,179,248,176
Geronimo Allison,GB,7,WR,198,189,251,189
Mason Crosby,GB,7,K,242,239,256,
Hayden Hurst,BAL,10,TE,175,207,257,
Case Keenum,DEN,10,QB,187,176,266,161
Blake Bortles,JAC,9,QB,182,152,267,135
Joe Flacco,BAL,10,QB,230,232,268,194
Kalen Ballage,MIA,11,RB,243,227,277,
Dede Westbrook,JAC,9,WR,170,180,295,
Adrian Peterson,WAS,4,RB,203,208,,182
Dante Pettis,SF,11,WR,260,226,,
