Name,Team,BYE,Pos,ADP,FP,ESPN,BORIS
Le'Veon Bell,PIT,7,RB2,2,2,1,2
Todd Gurley,LAR,12,RB1,1,1,2,1
David Johnson,ARI,9,RB4,4,4,3,4
Ezekiel Elliott,DAL,8,RB3,3,3,4,3
Antonio Brown,PIT,7,WR1,5,5,5,5
Saquon Barkley,NYG,9,RB6,7,8,6,7
Alvin Kamara,NO,6,RB5,6,6,7,6
Julio Jones,ATL,8,WR4,14,13,8,11
Odell Beckham Jr.,NYG,9,WR3,12,9,9,12
DeAndre Hopkins,HOU,10,WR2,9,7,10,8
Kareem Hunt,KC,12,RB9,10,12,11,13
Leonard Fournette,JAC,9,RB8,8,11,12,9
Dalvin Cook,MIN,10,RB10,13,15,13,15
Melvin Gordon,LAC,8,RB7,11,10,14,10
Keenan Allen,LAC,8,WR6,18,16,15,17
Michael Thomas,NO,6,WR5,16,14,16,14
Devonta Freeman,ATL,8,RB11,17,19,17,16
A.J. Green,CIN,9,WR7,20,17,18,18
Christian McCaffrey,CAR,4,RB13,15,22,19,21
Rob Gronkowski,NE,11,TE1,21,21,20,20
Davante Adams,GB,7,WR8,19,18,21,19
Mike Evans,TB,5,WR9,24,23,22,27
LeSean McCoy,BUF,11,RB16,26,32,23,32
T.Y. Hilton,IND,9,WR10,30,25,24,22
Adam Thielen,MIN,10,WR13,32,30,25,25
Stefon Diggs,MIN,10,WR12,31,29,26,29
Tyreek Hill,KC,12,WR14,28,31,27,30
Larry Fitzgerald,ARI,9,WR16,44,35,28,38
Travis Kelce,KC,12,TE2,29,28,29,33
Zach Ertz,PHI,9,TE3,38,39,30,46
Allen Robinson,CHI,5,WR18,50,41,31,37
Doug Baldwin,SEA,7,WR11,35,27,32,26
Amari Cooper,OAK,7,WR15,33,34,33,34
Josh Gordon,CLE,11,WR23,53,49,34,47
Marvin Jones,DET,6,WR20,55,46,35,40
Jordan Howard,CHI,5,RB12,22,20,36,23
Jerick McKinnon,SF,11,RB15,27,26,37,24
Joe Mixon,CIN,9,RB14,23,24,38,28
Demaryius Thomas,DEN,10,WR17,46,40,39,43
Alshon Jeffery,PHI,9,WR25,57,54,40,52
Brandin Cooks,LAR,12,WR22,43,48,41,49
Golden Tate,DET,6,WR21,54,47,42,48
Kenyan Drake,MIA,11,RB20,39,37,43,36
Derrick Henry,TEN,8,RB19,36,38,44,42
Alex Collins,BAL,10,RB17,34,33,45,31
Jay Ajayi,PHI,9,RB18,37,36,46,39
Royce Freeman,DEN,10,RB22,48,45,47,53
Ronald Jones II,TB,5,RB33,63,90,48,90
Marshawn Lynch,OAK,7,RB25,65,53,49,54
Lamar Miller,HOU,10,RB21,45,42,50,44
Jarvis Landry,CLE,11,WR24,42,50,51,60
JuJu Smith-Schuster,PIT,7,WR19,41,44,52,41
Chris Hogan,NE,11,WR26,61,55,53,45
Emmanuel Sanders,DEN,10,WR30,92,70,54,61
Dion Lewis,TEN,8,RB24,58,52,55,64
Aaron Rodgers,GB,7,QB1,25,43,56,35
Tom Brady,NE,11,QB3,47,57,57,51
Mark Ingram,NO,6,RB23,52,51,58,55
Isaiah Crowell,NYJ,11,RB32,87,84,59,88
Rex Burkhead,NE,11,RB27,74,65,60,74
Chris Carson,SEA,7,RB36,99,94,61,109
Corey Davis,TEN,8,WR27,70,60,62,58
Sammy Watkins,KC,12,WR28,76,63,63,63
Devin Funchess,CAR,4,WR33,84,78,64,68
Robert Woods,LAR,12,WR34,85,77,65,67
Cam Newton,CAR,4,QB4,56,59,66,56
Carson Wentz,PHI,9,QB7,66,83,67,72
Russell Wilson,SEA,7,QB2,49,56,68,50
Deshaun Watson,HOU,10,QB5,40,64,69,57
Robby Anderson,NYJ,11,WR32,98,74,70,71
Michael Crabtree,BAL,10,WR29,71,62,71,59
Marquise Goodwin,SF,11,WR31,73,68,72,66
Cooper Kupp,LAR,12,WR36,91,82,73,78
Will Fuller,HOU,10,WR38,75,86,74,87
Randall Cobb,GB,7,WR39,97,89,75,73
Kelvin Benjamin,BUF,11,WR44,112,105,76,98
Greg Olsen,CAR,4,TE4,60,58,77,80
Delanie Walker,TEN,8,TE7,78,73,78,85
Evan Engram,NYG,9,TE6,62,69,79,91
Duke Johnson,CLE,11,RB39,102,104,80,116
Kenny Stills,MIA,11,WR40,124,96,81,77
Josh Doctson,WAS,4,WR51,150,125,82,122
Kerryon Johnson,DET,6,RB28,67,67,83,69
Jimmy Graham,GB,7,TE5,51,66,84,82
Rashaad Penny,SEA,7,RB30,59,79,85,75
Tevin Coleman,ATL,8,RB26,69,61,86,62
Jamaal Williams,GB,7,RB34,81,87,87,83
Pierre Garcon,SF,11,WR35,95,80,88,79
Julian Edelman,NE,11,WR42,79,98,89,100
Jordan Reed,WAS,4,TE10,90,100,90,105
Sterling Shepard,NYG,9,WR45,114,108,91,104
Jordy Nelson,OAK,7,WR43,86,102,92,99
