Name,Team,BYE,Pos,ADP,FP,ESPN,BORIS
Jamison Crowder,WAS,4,WR37,101,81,93,89
Chris Thompson,WAS,4,RB37,88,95,94,94
Carlos Hyde,CLE,11,RB31,72,75,95,102
Sony Michel,NE,11,RB29,68,72,96,65
Marlon Mack,IND,9,RB35,89,93,97,92
C.J. Anderson,CAR,4,RB38,109,101,98,121
Kyle Rudolph,MIN,10,TE8,77,76,99,96
Ty Montgomery,GB,7,RB44,121,127,100,147
Marqise Lee,JAC,9,WR47,138,113,101,95
Kenny Golladay,DET,6,WR52,142,124,102,114
Devante Parker,MIA,11,WR46,111,109,103,107
Allen Hurns,DAL,8,WR48,117,116,104,120
Nelson Agholor,PHI,9,WR41,110,97,105,97
Rishard Matthews,TEN,8,WR49,164,122,106,112
Nick Chubb,CLE,11,RB43,105,126,107,127
Tarik Cohen,CHI,5,RB40,83,106,108,111
Jordan Wilkins,IND,9,RB58,163,172,109,
Trey Burton,CHI,5,TE9,94,92,110,113
David Njoku,CLE,11,TE11,113,111,111,125
Jeremy Hill,NE,11,RB69,190,236,112,
Giovani Bernard,CIN,9,RB47,147,131,113,126
James White,NE,11,RB49,135,136,114,144
Tyler Lockett,SEA,7,WR53,159,132,115,118
Mohamed Sanu,ATL,8,WR63,166,156,116,129
Andrew Luck,IND,9,QB9,82,88,117,81
Ben Roethlisberger,PIT,7,QB11,100,99,118,84
Kirk Cousins,MIN,10,QB8,80,85,119,76
Jack Doyle,IND,9,TE12,119,112,120,124
Cameron Meredith,NO,6,WR54,141,134,121,131
Paul Richardson,WAS,4,WR62,188,155,122,142
DeSean Jackson,TB,5,WR56,189,141,123,128
D.J. Moore,CAR,4,WR50,118,123,124,130
Michael Gallup,DAL,8,WR61,143,151,125,151
Chris Godwin,TB,5,WR60,183,153,126,157
Matthew Stafford,DET,6,QB10,96,91,127,86
Drew Brees,NO,6,QB6,64,71,128,70
Calvin Ridley,ATL,8,WR57,115,143,129,158
John Ross,CIN,9,WR70,207,186,130,175
Danny Amendola,MIA,11,WR77,252,205,131,181
Dez Bryant,FA,,WR65,161,166,132,169
Charles Clay,BUF,11,TE18,224,149,133,162
Matt Ryan,ATL,8,QB14,103,110,134,106
Patrick Mahomes,KC,12,QB15,116,115,135,101
Tyler Eifert,CIN,9,TE15,136,137,136,146
Philip Rivers,LAC,8,QB12,106,103,137,93
Jimmy Garoppolo,SF,11,QB13,93,107,138,103
Alex Smith,WAS,4,QB18,129,121,139,115
Marcus Mariota,TEN,8,QB16,128,119,140,110
John Brown,BAL,10,WR64,193,160,141,140
Anthony Miller,CHI,5,WR58,162,146,142,141
James Washington,PIT,7,WR79,197,211,143,195
Courtland Sutton,DEN,10,WR81,192,215,144,186
Donte Moncrief,JAC,9,WR76,236,203,145,179
Mike Williams,LAC,8,WR55,130,135,146,132
Devontae Booker,DEN,10,RB46,123,130,147,117
Latavius Murray,MIN,10,RB50,139,140,148,133
Theo Riddick,DET,6,RB53,167,159,149,171
Nyheim Hines,IND,9,RB57,149,173,150,159
Robert Kelley,WAS,4,RB59,146,174,151,
Samaje Perine,WAS,4,RB52,160,165,152,
Doug Martin,OAK,7,RB56,156,168,153,188
Matt Breida,SF,11,RB51,154,148,154,154
Corey Clement,PHI,9,RB48,132,139,155,155
George Kittle,SF,11,TE13,127,118,157,136
Mike Wallace,PHI,9,WR72,273,191,158,163
Ryan Grant,IND,9,WR73,289,196,159,196
Keelan Cole,JAC,9,WR69,201,182,160,174
Aaron Jones,GB,7,RB41,104,114,161,139
Dak Prescott,DAL,8,QB19,137,128,162,119
Jared Goff,LAR,12,QB17,108,120,163,108
Austin Seferian-Jenkins,JAC,9,TE20,176,177,164,170
Vance McDonald,PIT,7,TE23,247,188,166,200
Peyton Barber,TB,5,RB42,134,117,167,123
Tyrod Taylor,CLE,11,QB27,211,192,168,168
Quincy Enunwa,NYJ,11,WR74,277,193,169,166
Greg Zuerlein,LAR,12,K3,126,198,175,
Stephen Gostkowski,NE,11,K1,122,187,176,
Justin Tucker,BAL,10,K2,145,194,177,
Matt Bryant,ATL,8,K4,196,206,184,
Wil Lutz,NO,6,K5,171,219,185,
Chris Boswell,PIT,7,K9,202,233,186,
Jake Elliott,PHI,9,K6,173,224,188,
Matt Prater,DET,6,K7,226,225,189,
Harrison Butker,KC,12,K10,172,237,190,
LeGarrette Blount,DET,6,RB54,148,162,193,
Javorius Allen,BAL,10,RB64,225,209,194,
Bilal Powell,NYJ,11,RB45,155,129,195,143
Cameron Brate,TB,5,TE16,184,142,196,165
Benjamin Watson,NO,6,TE22,210,185,197,192
Austin Hooper,ATL,8,TE24,214,190,198,183
Kenneth Dixon,BAL,10,RB65,217,218,199,
Darren Sproles,PHI,9,RB71,268,238,200,
D'Onta Foreman,HOU,10,RB55,140,164,202,160
Chris Ivory,BUF,11,RB61,213,195,203,156
Austin Ekeler,LAC,8,RB62,168,201,204,177
Spencer Ware,KC,12,RB63,209,213,205,199
Frank Gore,MIA,11,RB60,206,181,206,184
Jonathan Stewart,NYG,9,RB70,272,242,208,
O.J. Howard,TB,5,TE14,153,133,210,149
Jared Cook,OAK,7,TE19,186,161,211,152
Mitch Trubisky,CHI,5,QB22,169,154,212,134
Christian Kirk,ARI,9,WR75,195,197,213,180
Cole Beasley,DAL,8,WR83,259,223,214,
Martavis Bryant,OAK,7,WR67,165,170,215,153
Ted Ginn,NO,6,WR66,179,167,216,145
Taywan Taylor,TEN,8,WR80,223,202,218,178
Andy Dalton,CIN,9,QB24,212,175,219,148
Ryan Tannehill,MIA,11,QB28,222,204,220,164
Dan Bailey,DAL,8,K8,205,228,223,
Albert Wilson,MIA,11,WR85,294,229,225,187
Terrance Williams,DAL,8,WR86,263,234,226,185
Tyrell Williams,LAC,8,WR59,181,145,228,137
Brandon Marshall,SEA,7,WR87,270,235,229,
Corey Coleman,BUF,11,WR78,285,210,233,
Jermaine Kearse,NYJ,11,WR82,291,220,234,167
T.J. Yeldon,JAC,9,RB66,218,222,236,
Corey Grant,JAC,9,RB72,306,241,238,
Eli Manning,NYG,9,QB23,174,157,243,150
Derek Carr,OAK,7,QB20,133,144,244,138
Jameis Winston,TB,5,QB26,158,184,245,173
Eric Ebron,IND,9,TE17,194,150,246,172
Mike Gesicki,MIA,11,TE25,200,199,247,198
Ricky Seals-Jones,ARI,9,TE21,216,179,248,176
Geronimo Allison,GB,7,WR71,198,189,251,189
Mason Crosby,GB,7,K11,242,239,256,
Hayden Hurst,BAL,10,TE26,175,207,257,
Case Keenum,DEN,10,QB25,187,176,266,161
Blake Bortles,JAC,9,QB21,182,152,267,135
Joe Flacco,BAL,10,QB29,230,232,268,194
Kalen Ballage,MIA,11,RB68,243,227,277,
Dede Westbrook,JAC,9,WR68,170,180,295,
Adrian Peterson,WAS,4,RB67,203,208,,182
Dante Pettis,SF,11,WR84,260,226,,
